,block,plot,site,year,treatment,grass,forb,woody,dead,cactus,anpp,anpp_with_woody,nitrogen
18,A,1,SGS,2021,N,99.9,6,0,1.65,0,105.9,105.9,30
70,A,2,SGS,2021,N,77.05,111.3,0,0.55,0,188.35,188.35,20
104,A,3,SGS,2021,N,84.6,162.4,0,0,0,247,247,10
109,A,4,SGS,2021,N,24.6,103.15,0,0.65,0,127.75,127.75,15
169,A,5,SGS,2021,N,175.2,0,0,3.95,0,175.2,175.2,5
208,A,6,SGS,2021,N,119.05,2.7,0,2.6,0,121.75,121.75,0
243,A,7,SGS,2021,N,182.2,3.7,0,3.15,152.4,185.9,185.9,7.5
269,A,8,SGS,2021,N,119.55,0.6,0,4.5,0,120.15,120.15,2.5
300,B,10,SGS,2021,N,155.55,28.25,0,6.85,0,183.8,183.8,2.5
319,B,11,SGS,2021,N,45.25,35.95,0,1.2,0,81.2,81.2,7.5
348,B,12,SGS,2021,N,54.85,136.35,0,0.7,0,191.2,191.2,20
383,B,13,SGS,2021,N,81.9,16.1,0,0.65,0,98,98,5
436,B,14,SGS,2021,N,156.2,0,0,4.05,0,156.2,156.2,30
472,B,15,SGS,2021,N,260.7,0.75,0,7.15,0,261.45,261.45,10
504,B,16,SGS,2021,N,36.4,361.45,0,0.6,63.5,397.85,397.85,15
528,B,9,SGS,2021,N,87.1,24.9,0,0.85,0,112,112,0
581,C,17,SGS,2021,N,79.75,0,0,0.3,0,79.75,79.75,5
597,C,18,SGS,2021,N,20,145.4,0,0,450,165.4,165.4,20
662,C,19,SGS,2021,N,28.85,362.45,0,0,0,391.3,391.3,10
689,C,20,SGS,2021,N,133.55,41.8,0,7.9,0,175.35,175.35,30
722,C,21,SGS,2021,N,37.95,3.6,0,1.95,0,41.55,41.55,0
733,C,22,SGS,2021,N,132.65,3.5,0,4.6,0,136.15,136.15,2.5
773,C,23,SGS,2021,N,294.4,0,0,3.1,0,294.4,294.4,7.5
805,C,24,SGS,2021,N,20.15,310.7,0,2.5,0,330.85,330.85,15
865,D,25,SGS,2021,N,90.1,4.9,0,4.35,50.8,95,95,2.5
907,D,26,SGS,2021,N,163.4,2.95,0,4.9,0,166.35,166.35,5
937,D,27,SGS,2021,N,87.55,18.8,0,0.3,0,106.35,106.35,15
968,D,28,SGS,2021,N,40.5,1.4,0,0.6,0,41.9,41.9,7.5
1006,D,29,SGS,2021,N,51.95,105,0,1.2,0,156.95,156.95,30
1029,D,30,SGS,2021,N,127.1,0,0,5.6,0,127.1,127.1,0
1066,D,31,SGS,2021,N,99.9,14.9,0,3.15,0,114.8,114.8,10
1099,D,32,SGS,2021,N,110.5,13.5,0,0.9,0,124,124,20
1149,E,33,SGS,2021,N,86.4,32.15,0,4.45,0,118.55,118.55,0
1187,E,34,SGS,2021,N,25.95,41.6,0,0,0,67.55,67.55,20
1209,E,35,SGS,2021,N,21.3,107.95,0,0,0,129.25,129.25,30
1244,E,36,SGS,2021,N,47.15,1.65,0,0.8,0,48.8,48.8,5
1274,E,37,SGS,2021,N,145.25,9.6,0,1.95,0,154.85,154.85,2.5
1297,E,38,SGS,2021,N,2.25,132.65,0,1.45,0,134.9,134.9,15
1331,E,39,SGS,2021,N,46.65,52.55,1,1.65,0,99.2,100.2,7.5
1369,E,40,SGS,2021,N,115.45,0,0,2.6,0,115.45,115.45,10
1419,F,41,SGS,2021,N,108.6,4.45,0,0.35,0,113.05,113.05,20
1438,F,42,SGS,2021,N,72.65,49.45,0,1.4,0,122.1,122.1,30
1497,F,43,SGS,2021,N,98.25,9,0,1.45,0,107.25,107.25,5
1521,F,44,SGS,2021,N,72.65,0,0,1.15,0,72.65,72.65,10
1562,F,45,SGS,2021,N,68.05,15.9,0,4.3,0,83.95,83.95,0
1600,F,46,SGS,2021,N,56.75,87.35,0,1.65,0,144.1,144.1,7.5
1610,F,47,SGS,2021,N,128.65,0.65,0,1.45,0,129.3,129.3,15
1661,F,48,SGS,2021,N,155.35,24.35,0,1.25,0,179.7,179.7,2.5
20,A,1,SGS,2022,N,0,25.25,0,0,0,25.25,25.25,30
65,A,2,SGS,2022,N,0.55,41.15,0,0,0,41.7,41.7,20
81,A,3,SGS,2022,N,0.55,17.5,0,0,0,18.05,18.05,10
123,A,4,SGS,2022,N,4.3,17.85,0,0,0,22.15,22.15,15
172,A,5,SGS,2022,N,0.75,0,0,0,16.15,0.75,0.75,5
187,A,6,SGS,2022,N,1.65,0.75,0,0,0,2.4,2.4,0
232,A,7,SGS,2022,N,5.25,1.9,0,0,0,7.15,7.15,7.5
259,A,8,SGS,2022,N,2.35,38.3,0,0,0,40.65,40.65,2.5
307,B,10,SGS,2022,N,1.15,14.95,0,0,0,16.1,16.1,2.5
