,block,site,year,plot,experiment,treatment,date,format,gcc_mean,doy,dom,month,nitrogen,deluge.date.1,deluge.date.2
312,b,sgs,2021,10,change,n,7/30/2021,JPG,0.33881922,211,30,7,2.5,7/27/2021,7/28/2021
313,b,sgs,2021,10,change,n,8/4/2021,JPG,0.339110895,216,4,8,2.5,7/27/2021,7/28/2021
314,b,sgs,2021,10,change,n,8/17/2021,JPG,0.334198338,229,17,8,2.5,7/27/2021,7/28/2021
315,b,sgs,2021,10,change,n,7/28/2021,JPG,0.33638349,209,28,7,2.5,7/27/2021,7/28/2021
319,b,sgs,2021,10,change,n,8/30/2021,JPG,0.334771954,242,30,8,2.5,7/27/2021,7/28/2021
322,b,sgs,2021,12,change,n,8/17/2021,JPG,0.341229343,229,17,8,20,7/27/2021,7/28/2021
328,b,sgs,2021,12,change,n,8/4/2021,JPG,0.350490137,216,4,8,20,7/27/2021,7/28/2021
331,b,sgs,2021,13,change,n,8/4/2021,JPG,0.33932044,216,4,8,5,7/27/2021,7/28/2021
332,b,sgs,2021,16,change,n,7/28/2021,JPG,0.349311317,209,28,7,15,7/27/2021,7/28/2021
333,b,sgs,2021,16,change,n,7/30/2021,JPG,0.347376355,211,30,7,15,7/27/2021,7/28/2021
334,b,sgs,2021,15,change,n,8/4/2021,JPG,0.340728705,216,4,8,10,7/27/2021,7/28/2021
336,b,sgs,2021,15,change,n,7/28/2021,JPG,0.340712091,209,28,7,10,7/27/2021,7/28/2021
337,b,sgs,2021,15,change,n,7/30/2021,JPG,0.343258253,211,30,7,10,7/27/2021,7/28/2021
339,b,sgs,2021,15,change,n,8/17/2021,JPG,0.340472125,229,17,8,10,7/27/2021,7/28/2021
340,b,sgs,2021,15,change,n,8/30/2021,JPG,0.338135774,242,30,8,10,7/27/2021,7/28/2021
342,b,sgs,2021,13,change,n,7/28/2021,JPG,0.338628881,209,28,7,5,7/27/2021,7/28/2021
343,b,sgs,2021,13,change,n,7/30/2021,JPG,0.340692785,211,30,7,5,7/27/2021,7/28/2021
345,b,sgs,2021,13,change,n,8/17/2021,JPG,0.336986211,229,17,8,5,7/27/2021,7/28/2021
346,b,sgs,2021,13,change,n,8/30/2021,JPG,0.337861454,242,30,8,5,7/27/2021,7/28/2021
352,b,sgs,2021,11,change,n,8/30/2021,JPG,0.33246038,242,30,8,7.5,7/27/2021,7/28/2021
356,b,sgs,2021,14,change,n,8/30/2021,JPG,0.335269803,242,30,8,30,7/27/2021,7/28/2021
359,b,sgs,2021,11,change,n,7/28/2021,JPG,0.337782642,209,28,7,7.5,7/27/2021,7/28/2021
360,b,sgs,2021,12,change,n,7/28/2021,JPG,0.350459991,209,28,7,20,7/27/2021,7/28/2021
361,b,sgs,2021,16,change,n,8/4/2021,JPG,0.345017768,216,4,8,15,7/27/2021,7/28/2021
