site,sample_year,plot,nitrogen,treatment,avgcalc_mg_l,channel,outlier
sgs,2022,A1,30,n,772.72,ammonium,
sgs,2022,A2,20,n,365.824,ammonium,
sgs,2022,A3,10,n,15.75,ammonium,
sgs,2022,A4,15,n,85.532,ammonium,
sgs,2022,A5,5,n,53.056,ammonium,
sgs,2022,A6,0,n,-2.154,ammonium,
sgs,2022,A7,7.5,n,62.084,ammonium,
sgs,2022,A8,2.5,n,9.3,ammonium,
sgs,2022,B9,0,n,-0.856,ammonium,
sgs,2022,B10,2.5,n,16.592,ammonium,
sgs,2022,B11,7.5,n,18.076,ammonium,
sgs,2022,B12,20,n,214.456,ammonium,
sgs,2022,B13,5,n,132.698,ammonium,
sgs,2022,B14,30,n,324.466,ammonium,
sgs,2022,B15,10,n,103.75,ammonium,
sgs,2022,B16,15,n,59.522,ammonium,
sgs,2022,C17,5,n,71.64,ammonium,
sgs,2022,C18,20,n,108.128,ammonium,
sgs,2022,C19,10,n,190.754,ammonium,
sgs,2022,C20,30,n,1011.916,ammonium,
sgs,2022,C21,0,n,-1.856,ammonium,
sgs,2022,C22,2.5,n,16.224,ammonium,
sgs,2022,C23,7.5,n,96.082,ammonium,
sgs,2022,C24,15,n,350.84,ammonium,
sgs,2022,D25,2.5,n,58.904,ammonium,
sgs,2022,D26,5,n,2.746,ammonium,
sgs,2022,D27,15,n,231.05,ammonium,
sgs,2022,D28,7.5,n,21.272,ammonium,
sgs,2022,D29,30,n,684.052,ammonium,
sgs,2022,D30,0,n,2.708,ammonium,
sgs,2022,D31,10,n,193.608,ammonium,
sgs,2022,D32,20,n,689.384,ammonium,
sgs,2022,E33,0,n,-0.74,ammonium,
sgs,2022,E34,20,n,249.458,ammonium,
sgs,2022,E35,30,n,678.644,ammonium,
sgs,2022,E36,5,n,54.1,ammonium,
sgs,2022,E37,2.5,n,25.112,ammonium,
sgs,2022,E38,15,n,57.59,ammonium,
sgs,2022,E39,7.5,n,53.07,ammonium,
sgs,2022,E40,10,n,9.594,ammonium,
sgs,2022,F41,20,n,94.262,ammonium,
sgs,2022,F42,30,n,239.306,ammonium,
sgs,2022,F43,5,n,48.124,ammonium,
sgs,2022,F44,10,n,153.934,ammonium,
sgs,2022,F45,0,n,-0.268,ammonium,
sgs,2022,F46,7.5,n,21.946,ammonium,
sgs,2022,F47,15,n,168.306,ammonium,
sgs,2022,F48,2.5,n,11.558,ammonium,
sgs,2022,A1,30,pp2,541.388,ammonium,
sgs,2022,A2,20,pp2,126.054,ammonium,
sgs,2022,A3,10,pp2,98.508,ammonium,
sgs,2022,A4,15,pp2,290.054,ammonium,
sgs,2022,A5,5,pp2,15.304,ammonium,
sgs,2022,A6,0,pp2,0.916,ammonium,
sgs,2022,A7,7.5,pp2,20.22,ammonium,
sgs,2022,A8,2.5,pp2,4.676,ammonium,
sgs,2022,B9,0,pp2,1.294,ammonium,
sgs,2022,B10,2.5,pp2,12.024,ammonium,
sgs,2022,B11,7.5,pp2,135.55,ammonium,
sgs,2022,B12,20,pp2,209.872,ammonium,
sgs,2022,B13,5,pp2,36.438,ammonium,
sgs,2022,B14,30,pp2,171.524,ammonium,
sgs,2022,B15,10,pp2,162.682,ammonium,
sgs,2022,B16,15,pp2,322.208,ammonium,
sgs,2022,C17,5,pp2,32.968,ammonium,
sgs,2022,C18,20,pp2,619.564,ammonium,
sgs,2022,C19,10,pp2,64.842,ammonium,
sgs,2022,C20,30,pp2,520.48,ammonium,
sgs,2022,C21,0,pp2,9.898,ammonium,
sgs,2022,C22,2.5,pp2,15.064,ammonium,
sgs,2022,C23,7.5,pp2,65.876,ammonium,
sgs,2022,C24,15,pp2,169.278,ammonium,
sgs,2022,D25,2.5,pp2,13.848,ammonium,
sgs,2022,D26,5,pp2,37.616,ammonium,
sgs,2022,D27,15,pp2,60.708,ammonium,
sgs,2022,D28,7.5,pp2,69.23,ammonium,
sgs,2022,D29,30,pp2,351.106,ammonium,
sgs,2022,D30,0,pp2,6.532,ammonium,
sgs,2022,D31,10,pp2,113.26,ammonium,
sgs,2022,D32,20,pp2,328.832,ammonium,
sgs,2022,E33,0,pp2,4.612,ammonium,
sgs,2022,E34,20,pp2,92.776,ammonium,
sgs,2022,E35,30,pp2,234.344,ammonium,
sgs,2022,E36,5,pp2,42.416,ammonium,
sgs,2022,E37,2.5,pp2,5.846,ammonium,
sgs,2022,E38,15,pp2,374.346,ammonium,
sgs,2022,E39,7.5,pp2,104.832,ammonium,
sgs,2022,E40,10,pp2,62.27,ammonium,
sgs,2022,F41,20,pp2,85.604,ammonium,
sgs,2022,F42,30,pp2,230.834,ammonium,
sgs,2022,F43,5,pp2,39.224,ammonium,
sgs,2022,F44,10,pp2,42.912,ammonium,
sgs,2022,F45,0,pp2,2.034,ammonium,
sgs,2022,F46,7.5,pp2,74.35,ammonium,
sgs,2022,F47,15,pp2,139.536,ammonium,
sgs,2022,F48,2.5,pp2,23.636,ammonium,
sgs,2022,A1,30,n,35.538,nitrate,
sgs,2022,A2,20,n,89.63,nitrate,
sgs,2022,A3,10,n,22.73,nitrate,
sgs,2022,A4,15,n,35.976,nitrate,
sgs,2022,A5,5,n,42.712,nitrate,
sgs,2022,A6,0,n,9.226,nitrate,
sgs,2022,A7,7.5,n,49.278,nitrate,
sgs,2022,A8,2.5,n,21.528,nitrate,
sgs,2022,B9,0,n,22.158,nitrate,
sgs,2022,B10,2.5,n,19.034,nitrate,
sgs,2022,B11,7.5,n,31.79,nitrate,
sgs,2022,B12,20,n,46.08,nitrate,
sgs,2022,B13,5,n,42.78,nitrate,
sgs,2022,B14,30,n,124.09,nitrate,
sgs,2022,B15,10,n,39.728,nitrate,
sgs,2022,B16,15,n,89.142,nitrate,
sgs,2022,C17,5,n,19.726,nitrate,
sgs,2022,C18,20,n,41.102,nitrate,
sgs,2022,C19,10,n,92.524,nitrate,
sgs,2022,C20,30,n,70.148,nitrate,
