,site,year,date,precipitation_mm,precipitation_summed_mm,doy,dom,month
245,sgs,2021,1/1/2021,0,0,1,1,1
246,sgs,2021,1/2/2021,0,0,2,2,1
247,sgs,2021,1/3/2021,0,0,3,3,1
248,sgs,2021,1/4/2021,0,0,4,4,1
249,sgs,2021,1/5/2021,0,0,5,5,1
250,sgs,2021,1/6/2021,0,0,6,6,1
251,sgs,2021,1/7/2021,0,0,7,7,1
252,sgs,2021,1/8/2021,0,0,8,8,1
253,sgs,2021,1/9/2021,0,0,9,9,1
254,sgs,2021,1/10/2021,1.524,1.524,10,10,1
255,sgs,2021,1/11/2021,0.254,1.778,11,11,1
256,sgs,2021,1/12/2021,0,1.778,12,12,1
257,sgs,2021,1/13/2021,0,1.778,13,13,1
258,sgs,2021,1/14/2021,17.526,19.304,14,14,1
259,sgs,2021,1/15/2021,2.54,21.844,15,15,1
260,sgs,2021,1/16/2021,26.416,48.26,16,16,1
261,sgs,2021,1/17/2021,0,48.26,17,17,1
262,sgs,2021,1/18/2021,0,48.26,18,18,1
263,sgs,2021,1/19/2021,0,48.26,19,19,1
264,sgs,2021,1/20/2021,0,48.26,20,20,1
265,sgs,2021,1/21/2021,0,48.26,21,21,1
266,sgs,2021,1/22/2021,0,48.26,22,22,1
267,sgs,2021,1/23/2021,0,48.26,23,23,1
268,sgs,2021,1/24/2021,0,48.26,24,24,1
269,sgs,2021,1/25/2021,0,48.26,25,25,1
270,sgs,2021,1/26/2021,0,48.26,26,26,1
271,sgs,2021,1/27/2021,0,48.26,27,27,1
272,sgs,2021,1/28/2021,0.254,48.514,28,28,1
273,sgs,2021,1/29/2021,0,48.514,29,29,1
274,sgs,2021,1/30/2021,0,48.514,30,30,1
275,sgs,2021,1/31/2021,0,48.514,31,31,1
276,sgs,2021,2/1/2021,0,48.514,32,1,2
277,sgs,2021,2/2/2021,0,48.514,33,2,2
278,sgs,2021,2/3/2021,0,48.514,34,3,2
279,sgs,2021,2/4/2021,0.762,49.276,35,4,2
280,sgs,2021,2/5/2021,0,49.276,36,5,2
281,sgs,2021,2/6/2021,0,49.276,37,6,2
282,sgs,2021,2/7/2021,0,49.276,38,7,2
283,sgs,2021,2/8/2021,0,49.276,39,8,2
284,sgs,2021,2/9/2021,0,49.276,40,9,2
