,block,site,year,plot,treatment,date,vwc,deluge.date.1,deluge.date.2,doy,dom,month,days_since_deluge
145,A,sgs,2021,2,pulse-press1,8/10/2021,4.666666667,7/27/2021,7/28/2021,222,10,8,13
146,A,sgs,2021,1,pulse-press1,8/10/2021,3.1,7/27/2021,7/28/2021,222,10,8,13
147,A,sgs,2021,1,pulse-press1,8/14/2021,4,7/27/2021,7/28/2021,226,14,8,17
148,A,sgs,2021,3,pulse-press1,8/10/2021,3.933333333,7/27/2021,7/28/2021,222,10,8,13
149,A,sgs,2021,2,pulse-press1,7/27/2021,2.833333333,7/27/2021,7/28/2021,208,27,7,-1
150,A,sgs,2021,2,nitrogen,8/14/2021,4.633333333,7/27/2021,7/28/2021,226,14,8,17
151,A,sgs,2021,1,nitrogen,7/27/2021,4.466666667,7/27/2021,7/28/2021,208,27,7,-1
152,A,sgs,2021,2,nitrogen,7/27/2021,3.233333333,7/27/2021,7/28/2021,208,27,7,-1
153,A,sgs,2021,3,pulse-press1,7/27/2021,2.266666667,7/27/2021,7/28/2021,208,27,7,-1
154,A,sgs,2021,1,pulse-press1,8/2/2021,10.2,7/27/2021,7/28/2021,214,2,8,5
155,A,sgs,2021,4,nitrogen,7/27/2021,3.066666667,7/27/2021,7/28/2021,208,27,7,-1
156,A,sgs,2021,4,nitrogen,8/10/2021,3.166666667,7/27/2021,7/28/2021,222,10,8,13
157,A,sgs,2021,3,pulse-press1,8/2/2021,8.433333333,7/27/2021,7/28/2021,214,2,8,5
158,A,sgs,2021,3,pulse-press1,8/5/2021,5.966666667,7/27/2021,7/28/2021,217,5,8,8
159,A,sgs,2021,5,nitrogen,7/27/2021,5.3,7/27/2021,7/28/2021,208,27,7,-1
160,A,sgs,2021,3,nitrogen,7/27/2021,3.033333333,7/27/2021,7/28/2021,208,27,7,-1
161,A,sgs,2021,4,pulse-press1,7/27/2021,3.366666667,7/27/2021,7/28/2021,208,27,7,-1
162,A,sgs,2021,2,pulse-press1,8/2/2021,7.3,7/27/2021,7/28/2021,214,2,8,5
163,A,sgs,2021,1,pulse-press1,7/27/2021,3.3,7/27/2021,7/28/2021,208,27,7,-1
164,A,sgs,2021,2,nitrogen,8/10/2021,2.8,7/27/2021,7/28/2021,222,10,8,13
165,A,sgs,2021,4,pulse-press1,8/2/2021,8.3,7/27/2021,7/28/2021,214,2,8,5
166,A,sgs,2021,2,nitrogen,7/29/2021,4.566666667,7/27/2021,7/28/2021,210,29,7,1
167,A,sgs,2021,6,nitrogen,7/27/2021,5.4,7/27/2021,7/28/2021,208,27,7,-1
