block,plot,site,treatment,year,species,cover,nitrogen
A,1,sgs,nitrogen,2021,Carex eleocharis,1,30
A,1,sgs,nitrogen,2021,Bromus tectorum,4,30
A,1,sgs,nitrogen,2021,Chenopodium sp.,3,30
A,1,sgs,nitrogen,2021,Euphorbia sp.,1,30
A,1,sgs,nitrogen,2021,Elymus elymoides,60,30
A,1,sgs,nitrogen,2021,Oenothera albicaulis,1,30
A,1,sgs,nitrogen,2021,Sphaeralcea coccinea,1,30
A,1,sgs,nitrogen,2021,Thelesperma filifolium,1,30
A,2,sgs,nitrogen,2021,Lepidium densiflorum,2,20
A,2,sgs,nitrogen,2021,Oenothera albicaulis,2,20
A,2,sgs,nitrogen,2021,Plantago patagonica,1,20
A,2,sgs,nitrogen,2021,Salsola tragus,13,20
A,2,sgs,nitrogen,2021,Thelesperma filifolium,2,20
A,2,sgs,nitrogen,2021,Euphorbia sp.,1,20
A,2,sgs,nitrogen,2021,Sphaeralcea coccinea,10,20
A,2,sgs,nitrogen,2021,Chenopodium sp.,30,20
A,2,sgs,nitrogen,2021,Bromus tectorum,2,20
A,2,sgs,nitrogen,2021,Elymus elymoides,30,20
A,2,sgs,nitrogen,2021,Sporobolus cryptandrus,1,20
A,2,sgs,nitrogen,2021,Carex eleocharis,2,20
A,3,sgs,nitrogen,2021,Carex eleocharis,10,10
A,3,sgs,nitrogen,2021,Vulpia octoflora,12,10
A,3,sgs,nitrogen,2021,Chenopodium sp.,25,10
A,3,sgs,nitrogen,2021,Elymus elymoides,25,10
A,3,sgs,nitrogen,2021,Euphorbia sp.,1,10
A,3,sgs,nitrogen,2021,Lepidium densiflorum,1,10
A,3,sgs,nitrogen,2021,Echinocereus viridiflora,1,10
A,3,sgs,nitrogen,2021,Sphaeralcea coccinea,15,10
A,3,sgs,nitrogen,2021,Plantago patagonica,1,10
A,3,sgs,nitrogen,2021,Oenothera albicaulis,2,10
A,4,sgs,nitrogen,2021,Sphaeralcea coccinea,7,15
A,4,sgs,nitrogen,2021,Carex eleocharis,15,15
A,4,sgs,nitrogen,2021,Chenopodium sp.,3,15
A,4,sgs,nitrogen,2021,Euphorbia sp.,1,15
A,4,sgs,nitrogen,2021,Plantago patagonica,1,15
A,4,sgs,nitrogen,2021,Elymus elymoides,50,15
A,4,sgs,nitrogen,2021,Vulpia octoflora,3,15
A,5,sgs,nitrogen,2021,Sphaeralcea coccinea,2,5
A,5,sgs,nitrogen,2021,Carex filifolia,2,5
A,5,sgs,nitrogen,2021,Vulpia octoflora,4,5
A,5,sgs,nitrogen,2021,Sisymbrium altissimum,9,5
A,5,sgs,nitrogen,2021,Picradeniopsis oppositifolia,1,5
A,5,sgs,nitrogen,2021,Elymus elymoides,3,5
A,5,sgs,nitrogen,2021,Bromus tectorum,100,5
A,6,sgs,nitrogen,2021,Sisymbrium altissimum,20,0
A,6,sgs,nitrogen,2021,Sphaeralcea coccinea,1,0
A,6,sgs,nitrogen,2021,Lepidium densiflorum,1,0
A,6,sgs,nitrogen,2021,Opuntia polyacantha,6,0
A,6,sgs,nitrogen,2021,Carex filifolia,2,0
A,6,sgs,nitrogen,2021,Carex eleocharis,6,0
A,6,sgs,nitrogen,2021,Bouteloua gracilis,1,0
